"year","station","length","age","strata2","month","day","avgdepth","region","cruise6","lat","lon","depth","stratum","regf","area"
1982,115,149,20,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,146,5,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,115,160,21,"13",8,2,31,"SVAtoSNE",198204,38.3167,74.6167,31,"3S","SVAtoSNE","SVAtoSNE"
1982,116,170,10,"13",8,2,33,"SVAtoSNE",198204,38.2,74.5333,33,"3S","SVAtoSNE","SVAtoSNE"
1982,116,160,7,"13",8,2,33,"SVAtoSNE",198204,38.2,74.5333,33,"3S","SVAtoSNE","SVAtoSNE"
1982,117,167,11,"13",8,2,36,"SVAtoSNE",198204,38.1,74.5333,36,"3S","SVAtoSNE","SVAtoSNE"
1982,117,160,9,"13",8,2,36,"SVAtoSNE",198204,38.1,74.5333,36,"3S","SVAtoSNE","SVAtoSNE"
1982,117,171,9,"13",8,2,36,"SVAtoSNE",198204,38.1,74.5333,36,"3S","SVAtoSNE","SVAtoSNE"
1982,117,177,10,"13",8,2,36,"SVAtoSNE",198204,38.1,74.5333,36,"3S","SVAtoSNE","SVAtoSNE"
1982,117,141,6,"13",8,2,36,"SVAtoSNE",198204,38.1,74.5333,36,"3S","SVAtoSNE","SVAtoSNE"
1982,117,162,8,"13",8,2,36,"SVAtoSNE",198204,38.1,74.5333,36,"3S","SVAtoSNE","SVAtoSNE"
1982,117,151,9,"13",8,2,36,"SVAtoSNE",198204,38.1,74.5333,36,"3S","SVAtoSNE","SVAtoSNE"
1982,117,170,13,"13",8,2,36,"SVAtoSNE",198204,38.1,74.5333,36,"3S","SVAtoSNE","SVAtoSNE"
1982,117,172,9,"13",8,2,36,"SVAtoSNE",198204,38.1,74.5333,36,"3S","SVAtoSNE","SVAtoSNE"
1982,119,171,21,"13",8,2,28,"SVAtoSNE",198204,38.0833,74.75,27,"3S","SVAtoSNE","SVAtoSNE"
1982,119,150,35,"13",8,2,28,"SVAtoSNE",198204,38.0833,74.75,27,"3S","SVAtoSNE","SVAtoSNE"
1982,119,126,4,"13",8,2,28,"SVAtoSNE",198204,38.0833,74.75,27,"3S","SVAtoSNE","SVAtoSNE"
1982,119,77,3,"13",8,2,28,"SVAtoSNE",198204,38.0833,74.75,27,"3S","SVAtoSNE","SVAtoSNE"
1982,119,170,13,"13",8,2,28,"SVAtoSNE",198204,38.0833,74.75,27,"3S","SVAtoSNE","SVAtoSNE"
1982,119,174,21,"13",8,2,28,"SVAtoSNE",198204,38.0833,74.75,27,"3S","SVAtoSNE","SVAtoSNE"
1982,119,165,22,"13",8,2,28,"SVAtoSNE",198204,38.0833,74.75,27,"3S","SVAtoSNE","SVAtoSNE"
1982,119,162,20,"13",8,2,28,"SVAtoSNE",198204,38.0833,74.75,27,"3S","SVAtoSNE","SVAtoSNE"
1982,119,150,10,"13",8,2,28,"SVAtoSNE",198204,38.0833,74.75,27,"3S","SVAtoSNE","SVAtoSNE"
1982,119,164,20,"13",8,2,28,"SVAtoSNE",198204,38.0833,74.75,27,"3S","SVAtoSNE","SVAtoSNE"
1982,119,169,30,"13",8,2,28,"SVAtoSNE",198204,38.0833,74.75,27,"3S","SVAtoSNE","SVAtoSNE"
1982,119,161,18,"13",8,2,28,"SVAtoSNE",198204,38.0833,74.75,27,"3S","SVAtoSNE","SVAtoSNE"
1982,119,169,16,"13",8,2,28,"SVAtoSNE",198204,38.0833,74.75,27,"3S","SVAtoSNE","SVAtoSNE"
1982,119,181,21,"13",8,2,28,"SVAtoSNE",198204,38.0833,74.75,27,"3S","SVAtoSNE","SVAtoSNE"
1982,122,189,16,"13",8,2,28,"SVAtoSNE",198204,38.1,74.8333,28,"3S","SVAtoSNE","SVAtoSNE"
1982,122,159,22,"13",8,2,28,"SVAtoSNE",198204,38.1,74.8333,28,"3S","SVAtoSNE","SVAtoSNE"
1982,122,174,21,"13",8,2,28,"SVAtoSNE",198204,38.1,74.8333,28,"3S","SVAtoSNE","SVAtoSNE"
1982,122,165,23,"13",8,2,28,"SVAtoSNE",198204,38.1,74.8333,28,"3S","SVAtoSNE","SVAtoSNE"
1982,122,156,10,"13",8,2,28,"SVAtoSNE",198204,38.1,74.8333,28,"3S","SVAtoSNE","SVAtoSNE"
