Date,RCP8.5,SD8.5,RCP6,SD6,RCP4.5,SD4.5,RCP2.6,SD2.6
2031.62,0.467,0.314,0.262,0.130,0.414,0.416,0.612,0.375
2031.71,0.471,0.316,0.263,0.130,0.417,0.415,0.612,0.374
2031.79,0.475,0.318,0.263,0.130,0.419,0.414,0.612,0.373
2031.87,0.479,0.320,0.264,0.130,0.422,0.413,0.613,0.373
2031.96,0.483,0.322,0.264,0.130,0.424,0.412,0.613,0.372
2032.04,0.487,0.324,0.265,0.130,0.427,0.411,0.613,0.372
2032.12,0.491,0.326,0.266,0.130,0.429,0.410,0.613,0.371
2032.20,0.495,0.328,0.266,0.130,0.432,0.409,0.614,0.371
2032.29,0.499,0.331,0.267,0.130,0.435,0.408,0.614,0.370
2032.37,0.503,0.333,0.267,0.130,0.437,0.407,0.614,0.370
2032.45,0.507,0.335,0.268,0.130,0.440,0.406,0.614,0.369
2032.54,0.511,0.337,0.269,0.130,0.442,0.405,0.615,0.369
2032.62,0.516,0.339,0.269,0.130,0.445,0.404,0.615,0.369
2032.71,0.520,0.341,0.270,0.130,0.448,0.403,0.615,0.368
2032.79,0.524,0.343,0.270,0.130,0.450,0.402,0.615,0.368
2032.87,0.528,0.345,0.271,0.130,0.453,0.402,0.616,0.368
2032.96,0.532,0.347,0.271,0.130,0.455,0.401,0.616,0.368
2033.04,0.537,0.349,0.272,0.130,0.458,0.400,0.616,0.368
2033.12,0.541,0.352,0.273,0.130,0.461,0.399,0.616,0.367
2033.20,0.545,0.354,0.273,0.129,0.463,0.398,0.616,0.367
2033.29,0.550,0.356,0.274,0.129,0.466,0.397,0.617,0.367
2033.37,0.554,0.358,0.275,0.129,0.469,0.396,0.617,0.367
2033.45,0.559,0.360,0.276,0.129,0.471,0.396,0.617,0.367
2033.54,0.563,0.362,0.277,0.129,0.474,0.395,0.617,0.367
2033.62,0.568,0.364,0.278,0.128,0.477,0.394,0.618,0.368
2033.71,0.572,0.366,0.279,0.128,0.479,0.393,0.618,0.368
2033.79,0.576,0.368,0.280,0.128,0.482,0.393,0.618,0.368
2033.87,0.581,0.370,0.281,0.128,0.485,0.392,0.618,0.368
2033.96,0.585,0.372,0.282,0.127,0.487,0.391,0.618,0.368
2034.04,0.590,0.373,0.283,0.127,0.490,0.390,0.618,0.368
2034.12,0.594,0.375,0.284,0.126,0.493,0.390,0.618,0.369
2034.20,0.599,0.377,0.285,0.126,0.495,0.389,0.618,0.369
2034.29,0.604,0.379,0.287,0.126,0.498,0.388,0.619,0.369
2034.37,0.608,0.381,0.288,0.125,0.501,0.387,0.619,0.370
2034.45,0.613,0.383,0.290,0.125,0.504,0.387,0.619,0.370
2034.54,0.618,0.384,0.291,0.124,0.507,0.386,0.619,0.370
2034.62,0.622,0.386,0.293,0.124,0.509,0.385,0.619,0.371
2034.71,0.627,0.388,0.294,0.124,0.512,0.385,0.619,0.371
2034.79,0.632,0.390,0.296,0.123,0.515,0.384,0.619,0.371
2034.87,0.636,0.391,0.298,0.123,0.518,0.384,0.619,0.372
2034.96,0.641,0.393,0.300,0.123,0.521,0.383,0.619,0.372
2035.04,0.646,0.394,0.302,0.122,0.523,0.382,0.618,0.372
2035.12,0.650,0.396,0.304,0.122,0.526,0.382,0.618,0.373
2035.20,0.655,0.398,0.306,0.122,0.529,0.381,0.618,0.373
2035.29,0.660,0.399,0.308,0.122,0.532,0.381,0.618,0.373
2035.37,0.665,0.401,0.310,0.122,0.535,0.380,0.618,0.374
2035.45,0.669,0.402,0.312,0.121,0.538,0.380,0.618,0.374
2035.54,0.674,0.404,0.315,0.121,0.541,0.380,0.617,0.374
2035.62,0.679,0.405,0.317,0.122,0.544,0.379,0.617,0.375
