Month,Site,Biodeposition chamber,Treatment,Mesocosm,Clam ID,Length,Height,Dry.weight,AFDW,Duration of collection period,TPM,PIM,POM,Perc_organic,ER,OER,IER,Pseudofaeces TPM,Species standardization coefficient,IER_scaled,OER_scaled,IRR,ORR,RR,p,f,SE,IFR,CR,FR,Perc RR,TIR,OFR,OIR,i,AR,AE,Notes
June,Eel Pond,5,N,NC1,L,38.2300,30.6500,0.6094,0.4818,1.933,6.123,4.705,1.418,23.16,3.167,0.733,2.434,,0.76,3.55,1.07,0.00,0.00,0.00,,0.40,,3.55,1.26,5.85,0.00,5.85,2.30,2.30,0.39,1.23,0.54,
June,Eel Pond,6,N,NC2,B,41.6500,31.9300,0.6838,0.5415,1.933,11.912,9.675,2.237,18.78,6.161,1.157,5.004,0.397,0.76,6.68,1.54,0.17,0.11,0.27,0.39,0.40,0.03,6.85,2.43,11.29,2.43,11.02,4.45,4.34,0.39,2.80,0.64,
June,Eel Pond,7,S,SB3,NL1,31.8900,24.1300,0.3001,0.2316,1.933,3.937,3.139,0.798,20.27,2.036,0.413,1.624,,0.76,4.05,1.03,0.00,0.00,0.00,,0.40,,4.05,1.44,6.68,0.00,6.68,2.63,2.63,0.39,1.60,0.61,
June,Eel Pond,8,OUT,E row,NL1,34.0800,26.1300,0.3856,0.3023,1.933,7.254,5.783,1.471,20.28,3.752,0.761,2.991,,0.76,6.17,1.57,0.00,0.00,0.00,,0.40,,6.17,2.19,10.18,0.00,10.18,4.01,4.01,0.39,2.44,0.61,
June,Eel Pond,9,OUT,E row,NL2,27.0100,19.7700,0.1660,0.1319,1.933,3.961,3.126,0.835,21.08,2.049,0.432,1.617,,0.76,6.33,1.69,0.00,0.00,0.00,,0.40,,6.33,2.24,10.44,0.00,10.44,4.11,4.11,0.39,2.42,0.59,
June,Eel Pond,11,OUT,SH4,NL,21.73,16.19,0.09,0.0682,1.933,5.001,3.928,1.073,21.46,2.587,0.555,2.032,,0.76,13.04,3.56,0.00,0.00,0.00,,0.43,,13.04,4.78,22.70,0.00,22.70,9.65,9.65,0.43,6.09,0.63,
June,Eel Pond,12,OUT,SE4 or NI4,NL1,29.78,21.41,0.21,0.1644,1.933,5.439,4.450,0.989,18.18,2.813,0.512,2.302,,0.76,7.48,1.66,0.00,0.00,0.00,,0.43,,7.48,2.74,13.02,0.00,13.02,5.54,5.54,0.43,3.87,0.70,
June,Eel Pond,13,OUT,SE4 or NI4,NL2,32.07,23.61,0.25,0.1921,1.933,5.666,4.340,1.326,23.40,2.931,0.686,2.245,0.378,0.76,6.44,1.97,0.13,0.43,0.56,,0.43,,6.58,2.41,11.44,4.90,10.88,4.87,4.44,0.41,2.47,0.56,
June,Eel Pond,14,OUT,SE4 or NI4,NL3,29.18,19.76,0.18,0.1377,1.933,6.766,5.452,1.314,19.42,3.500,0.680,2.820,,0.76,10.38,2.50,0.00,0.00,0.00,,0.43,,10.38,3.80,18.06,0.00,18.06,7.68,7.68,0.43,5.18,0.67,
June,Eel Pond,15,OUT,SE4 or NI4,NL4,34.26,24.60,0.33,0.2612,1.933,4.832,3.851,0.981,20.30,2.499,0.507,1.992,,0.76,4.67,1.19,0.00,0.00,0.00,,0.43,,4.67,1.71,8.12,0.00,8.12,3.45,3.45,0.43,2.27,0.66,
June,Eel Pond,17,OUT,E row,NL3,23.52,16.71,0.10,0.0829,1.933,4.077,3.229,0.848,20.80,2.109,0.439,1.670,,0.76,9.52,2.50,0.00,0.00,0.00,,0.43,,9.52,3.49,16.56,0.00,16.56,7.04,7.04,0.43,4.54,0.65,
June,Eel Pond,18,OUT,E row,NL4,35.76,26.27,0.37,0.2922,1.933,5.115,4.001,1.114,21.78,2.646,0.576,2.069,,0.76,4.43,1.23,0.00,0.00,0.00,,0.43,,4.43,1.62,7.72,0.00,7.72,3.28,3.28,0.43,2.05,0.62,
June,Eel Pond,19,OUT,E row,NL5,32.93,24.81,0.31,0.233,1.933,7.191,5.658,1.533,21.32,3.719,0.793,2.927,0.946,0.76,7.16,1.94,0.40,0.79,1.20,0.66,0.43,-0.54,7.56,2.77,13.16,9.10,11.97,5.60,4.80,0.40,2.86,0.60,
