Date,Sample ID,Site,Stratum,Water/Sed  Temp,Salinity,pH temp,pH,Field Alkalinity,Lab Alkalinity,Alk,DIC ,Notes,,pH (DIC/Alk),pCO2 (DIC/Alk),Omega_Ar (DIC/Alk),,pH (pH/Alk),pCO2 (pH/Alk),Omega_Ar (pH/Alk),,pH (pH/DIC),pCO2 (pH/DIC),Omega_Ar (pH/DIC),,pH,pCO2,Omega Ar
11/4/22,254,Provincetown,Bottom water,16.9,32.35,17.6,8.103,2217.34,,2217.34,1944.43,,,8.146,303.0,3.08,,8.114,330.7,2.91,,8.114,327.9,2.88,,8.114,330.7,2.91
12/4/22,309,Provincetown,Bottom water,8.2,31.91,4.2,8.397,2216.85,,2216.85,1999.39,,,8.186,270.2,2.40,,8.327,183.1,3.11,,8.327,190.0,3.22,,8.327,183.1,3.11
1/21/23,352,Provincetown,Bottom water,4.4,32.32,5.8,7.868,2839.09,,,2628.56,,,8.156,370.5,2.54,,7.891,729.6,1.47,,7.891,698.8,1.41,,8.156,370.5,2.54
2/21/23,371,Provincetown,Bottom water,4.5,30.99,7.5,8.115,2194.62,,2194.62,1950.43,,,8.321,184.5,2.62,,8.166,279.9,1.95,,8.166,270.3,1.88,,8.166,279.9,1.95
3/20/23,399,Provincetown,Bottom water,6.4,31.79,14.1,8.036,2242.16,,2242.16,2023.66,,,8.217,250.3,2.40,,8.164,288.8,2.16,,8.164,285.4,2.14,,8.164,288.8,2.16
4/17/23,432,Provincetown,Bottom water,12.5,31.40,13.9,8.040,2184.79,,2184.79,1942.52,,,8.177,276.4,2.70,,8.063,376.6,2.18,,8.063,366.5,2.12,,8.063,376.6,2.18
5/10/23,479,Provincetown,Bottom water,14.4,31.68,19.2,8.104,2314.44,,2314.44,,,,,,,,8.182,288.5,3.12,,,,,,8.182,288.5,3.12
7/29/21,,Barnstable Harbor,2cm,,31.70,19.6,7.540,,1911.34,,1849.20,,,,,,,,,,,,,,,,,
8/11/21,,Barnstable Harbor,2cm,,31.55,20.8,7.161,,2029.46,,2166.64,,,,,,,,,,,,,,,,,
11/4/21,,Barnstable Harbor,2cm,,29.90,21.1,7.181,,2303.63,,2422.50,,,,,,,,,,,,,,,,,
12/2/21,,Barnstable Harbor,2cm,,30.40,13.3,8.000,,2066.94,,2022.69,NBS Scale,,,,,,,,,,,,,,,,
3/1/22,,Barnstable Harbor,2cm,,30.10,3.2,8.052,,2126.19,,2015.91,NBS scale,,,,,,,,,,,,,,,,
7/13/22,101,Barnstable Harbor,2cm,,32.74,24.6,7.119,,,,4441.39,,,,,,,,,,,,,,,,,
8/16/22,836,Barnstable Harbor,2cm,21.1,32.86,24.8,7.336,2078.80,,,2133.51,,,,,,,7.383,2037.7,0.73,,,,,,,,
10/27/22,234,Barnstable Harbor,2cm,16.1,31.01,16.3,7.383,2232.70,,,2256.16,,,,,,,7.386,2143.7,0.62,,,,,,,,
11/5/22,259,Barnstable Harbor,2cm,16.5,31.45,19.6,7.876,1875.93,,,2003.50,,,,,,,7.924,468.1,1.65,,,,,,,,
12/6/22,319,Barnstable Harbor,2cm,8.4,31.74,10.6,7.939,2221.57,,,2061.10,,,,,,,7.975,473.8,1.59,,,,,,,,
1/19/23,334,Barnstable Harbor,2cm,4.3,28.87,9.3,7.655,2786.56,,,2502.80,,,,,,,7.728,1084.7,0.94,,,,,,,,
2/23/23,381,Barnstable Harbor,2cm,4.5,30.48,5.1,8.019,1932.48,,,2044.85,,,,,,,8.029,351.8,1.29,,,,,,,,
3/21/23,404,Barnstable Harbor,2cm,4.5,30.48,13.4,8.127,2173.06,,,2097.73,,,,,,,8.277,206.6,2.37,,,,,,,,
4/21/23,456,Barnstable Harbor,2cm,10.4,31.14,10.1,7.610,2026.96,,,2085.39,,,,,,,7.606,1100.5,0.71,,,,,,,,
5/9/23,470,Barnstable Harbor,2cm,14.8,31.22,17.4,7.592,2050.39,,2050.39,,,,,,,,7.629,1079.8,0.92,,,,,,,,
8/10/21,,Cockle Cove,2cm,,31.61,20.4,7.217,,2596.42,,2724.87,,,,,,,,,,,,,,,,,
11/5/21,,Cockle Cove,2cm,,31.30,21.2,7.400,,2068.60,,2048.81,,,,,,,,,,,,,,,,,
12/3/21,,Cockle Cove,2cm,,29.60,7.8,7.830,,2091.27,,2113.38,NBS Scale,,,,,,,,,,,,,,,,
6/14/22,,Cockle Cove,2cm,,32.19,,,,,,2690.56,,,,,,,,,,,,,,,,,
7/15/22,127,Cockle Cove,2cm,,32.59,23.3,7.300,,1930.11,,2039.64,,,,,,,,,,,,,,,,,
8/13/22,801,Cockle Cove,2cm,21.9,32.78,21.1,7.469,2206.70,,,2399.16,,,,,,,7.458,1804.9,0.94,,,,,,,,
10/28/22,239,Cockle Cove,2cm,12.4,31.53,12.6,7.531,2467.23,,,2209.53,,,,,,,7.534,1617.6,0.82,,,,,,,,
11/8/22,278,Cockle Cove,2cm,12.7,29.89,8.3,7.516,2375.92,,,2569.43,,,,,,,7.458,1887.8,0.65,,,,,,,,
12/7/22,324,Cockle Cove,2cm,9.6,31.38,12.1,7.893,3802.26,,,2062.87,,,,,,,7.934,916.4,2.63,,,,,,,,
1/18/23,329,Cockle Cove,2cm,7.9,32.08,11.0,8.046,2154.24,,,1992.88,,,,,,,8.097,332.1,1.94,,,,,,,,
2/22/23,376,Cockle Cove,2cm,4.2,30.90,4.1,7.826,1849.92,,,2102.99,,,,,,,7.824,559.5,0.80,,,,,,,,
3/22/23,409,Cockle Cove,2cm,5.1,30.84,13.0,7.732,1925.38,,,2142.87,,,,,,,7.853,547.2,0.92,,,,,,,,
4/20/23,446,Cockle Cove,2cm,9.2,30.54,12.8,7.425,2136.88,,,2187.85,,,,,,,7.472,1594.4,0.53,,,,,,,,
5/11/23,484,Cockle Cove,2cm,17,31.99,18.3,7.933,1923.49,,1923.49,,,,,,,,7.953,443.0,1.85,,,,,,,,
9/7/21,,East Dennis,2cm,,30.50,21.7,7.505,,2092.50,,2082.45,,,,,,,,,,,,,,,,,
10/10/21,,East Dennis,2cm,,30.80,21.8,7.388,,2025.29,,2068.67,,,,,,,,,,,,,,,,,
11/2/21,,East Dennis,2cm,,30.70,20.3,7.418,,1964.14,,1916.20,,,,,,,,,,,,,,,,,
7/18/22,137,East Dennis,2cm,,31.91,27.9,7.289,,2166.78,,2263.70,,,,,,,,,,,,,,,,,
8/14/22,818,East Dennis,2cm,20,30.08,20.6,7.523,2073.00,,,2233.39,,,,,,,7.531,1428.9,0.91,,,,,,,,
10/26/22,229,East Dennis,2cm,16.7,32.49,16.7,7.344,2238.74,,,2030.02,,,,,,,7.344,2367.5,0.60,,,,,,,,
11/7/22,273,East Dennis,2cm,17.5,32.95,18.2,7.220,2889.95,,,3210.52,,,,,,,7.228,4047.2,0.62,,,,,,,,
12/3/22,300,East Dennis,2cm,9.4,31.93,13.8,7.474,1938.28,,,2134.66,,,,,,,7.533,1240.7,0.57,,,,,,,,
1/22/23,357,East Dennis,2cm,4.7,31.19,8.6,7.583,2068.17,,,2129.96,,,,,,,7.638,990.3,0.61,,,,,,,,
2/16/23,362,East Dennis,2cm,8.7,31.35,15.8,7.963,1926.45,,,1944.08,,,,,,,8.078,314.3,1.70,,,,,,,,
3/22/23,414,East Dennis,2cm,6.4,31.69,12.0,7.770,1851.47,,,2002.92,,,,,,,7.856,524.1,0.95,,,,,,,,
4/20/23,451,East Dennis,2cm,11.2,30.58,8.8,8.013,2024.89,,,,,,,,,,7.974,440.6,1.58,,,,,,,,
5/12/23,489,East Dennis,2cm,15.5,31.12,25.9,7.202,2411.61,,2411.61,,,,,,,,7.325,2669.7,0.57,,,,,,,,
7/26/21,,Eel Pond,2cm,,31.50,20.3,7.500,,1960.45,,1882.67,,,,,,,,,,,,,,,,,
8/13/21,,Eel Pond,2cm,,31.29,20.6,7.509,,1951.65,,1855.29,,,,,,,,,,,,,,,,,
10/6/21,,Eel Pond,2cm,,29.40,21.1,7.674,,1939.32,,1924.94,,,,,,,,,,,,,,,,,
11/8/21,,Eel Pond,2cm,,30.50,21.0,7.730,,1941.81,,1947.14,,,,,,,,,,,,,,,,,
12/1/21,,Eel Pond,2cm,,30.10,12.1,8.040,,2034.66,,1972.42,NBS scale,,,,,,,,,,,,,,,,
3/2/22,,Eel Pond,2cm,,29.90,3.3,8.093,,2005.67,,1941.89,NBS scale,,,,,,,,,,,,,,,,
6/17/22,,Eel Pond,2cm,,31.40,,,,2540.17,,2530.04,,,,,,,,,,,,,,,,,
7/15/22,121,Eel Pond,2cm,,31.42,25.8,7.178,,2715.8,,2771.18,,,,,,,,,,,,,,,,,
8/15/22,826,Eel Pond,2cm,23.9,32.80,26.7,7.173,2438.80,,,2546.48,,,,,,,7.205,3708.4,0.65,,,,,,,,
10/24/22,211,Eel Pond,2cm,16.1,31.75,16.7,7.494,3069.27,,,2718.66,,,,,,,7.502,2221.8,1.12,,,,,,,,
11/6/22,264,Eel Pond,2cm,17.3,32.29,18.2,7.570,1832.56,,,2053.45,,,,,,,7.583,1086.3,0.84,,,,,,,,
12/5/22,314,Eel Pond,2cm,8.1,31.28,8.3,7.621,2096.01,,,2333.12,,,,,,,7.624,1070.0,0.70,,,,,,,,
1/20/23,339,Eel Pond,2cm,4.5,29.80,8.2,7.822,2196.64,,,2234.85,,,,,,,7.880,585.4,1.06,,,,,,,,
